Transaction_ID,Date,Department,Category,Revenue,Expense,Profit,Payment_Mode,City
T001,2026-01-01,Sales,Product,50000,32000,18000,Online,Delhi
T002,2026-01-02,Marketing,Advertisement,30000,25000,5000,Card,Mumbai
T003,2026-01-03,HR,Recruitment,10000,15000,-5000,UPI,Pune
T004,2026-01-04,IT,Software,45000,20000,25000,Online,Bangalore
T005,2026-01-05,Operations,Logistics,38000,28000,10000,Cash,Chennai
T006,2026-01-06,Sales,Service,42000,22000,20000,Card,Hyderabad
T007,2026-01-07,Finance,Audit,15000,12000,3000,UPI,Delhi
T008,2026-01-08,Marketing,Campaign,52000,30000,22000,Online,Mumbai
T009,2026-01-09,IT,Hardware,60000,40000,20000,Cash,Pune
T010,2026-01-10,Operations,Maintenance,28000,20000,8000,Card,Chennai
T011,2026-01-11,Sales,Product,55000,35000,20000,UPI,Bangalore
T012,2026-01-12,HR,Training,18000,22000,-4000,Online,Hyderabad
T013,2026-01-13,Finance,Tax,22000,18000,4000,Card,Delhi
T014,2026-01-14,Marketing,Advertisement,47000,30000,17000,Cash,Mumbai
T015,2026-01-15,IT,Software,53000,26000,27000,UPI,Pune
T016,2026-01-16,Operations,Logistics,39000,29000,10000,Online,Chennai
T017,2026-01-17,Sales,Service,41000,23000,18000,Card,Bangalore
T018,2026-01-18,Finance,Investment,70000,50000,20000,UPI,Hyderabad
T019,2026-01-19,HR,Recruitment,12000,14000,-2000,Cash,Delhi
T020,2026-01-20,Marketing,Campaign,56000,33000,23000,Online,Mumbai
T021,2026-01-21,IT,Hardware,62000,42000,20000,Card,Pune
T022,2026-01-22,Operations,Maintenance,30000,21000,9000,UPI,Chennai
T023,2026-01-23,Sales,Product,48000,31000,17000,Online,Bangalore
T024,2026-01-24,Finance,Audit,25000,20000,5000,Cash,Hyderabad
T025,2026-01-25,Marketing,Advertisement,51000,34000,17000,Card,Delhi
T026,2026-01-26,IT,Software,58000,27000,31000,UPI,Mumbai
T027,2026-01-27,Operations,Logistics,40000,30000,10000,Online,Pune
T028,2026-01-28,Sales,Service,43000,24000,19000,Cash,Chennai
T029,2026-01-29,Finance,Tax,24000,19000,5000,Card,Bangalore
T030,2026-01-30,HR,Training,20000,23000,-3000,UPI,Hyderabad
T031,2026-02-01,Marketing,Campaign,60000,35000,25000,Online,Delhi
T032,2026-02-02,IT,Hardware,65000,45000,20000,Cash,Mumbai
T033,2026-02-03,Operations,Maintenance,31000,22000,9000,Card,Pune
T034,2026-02-04,Sales,Product,57000,36000,21000,UPI,Chennai
T035,2026-02-05,Finance,Investment,75000,52000,23000,Online,Bangalore
T036,2026-02-06,HR,Recruitment,15000,17000,-2000,Card,Hyderabad
T037,2026-02-07,Marketing,Advertisement,49000,31000,18000,Cash,Delhi
T038,2026-02-08,IT,Software,61000,28000,33000,UPI,Mumbai
T039,2026-02-09,Operations,Logistics,42000,32000,10000,Online,Pune
T040,2026-02-10,Sales,Service,45000,25000,20000,Card,Chennai
T041,2026-02-11,Finance,Audit,27000,21000,6000,UPI,Bangalore
T042,2026-02-12,Marketing,Campaign,63000,37000,26000,Cash,Hyderabad
T043,2026-02-13,IT,Hardware,67000,46000,21000,Online,Delhi
T044,2026-02-14,Operations,Maintenance,32000,23000,9000,Card,Mumbai
T045,2026-02-15,Sales,Product,59000,38000,21000,UPI,Pune
T046,2026-02-16,Finance,Tax,26000,20000,6000,Cash,Chennai
T047,2026-02-17,HR,Training,22000,24000,-2000,Online,Bangalore
T048,2026-02-18,Marketing,Advertisement,52000,33000,19000,Card,Hyderabad
T049,2026-02-19,IT,Software,64000,30000,34000,UPI,Delhi
T050,2026-02-20,Operations,Logistics,43000,31000,12000,Cash,Mumbai
